ID(a),a.geneSymbol
61,ACHE
242,ABCA7
436,CALM1
514,IL1B
810,NCSTN
975,PSEN1
1128,TNF
1191,CYP2D6
1487,MPO
1491,PPARG
1541,CASP3
1589,NOS3
1792,ADAM10
1835,TPP1
1836,BCL2
1927,DHCR24
2008,MTHFR
2333,VEGFA
2785,TOMM40
2964,TF
2975,MAOB
3026,MAPT
3090,ESR1
3343,TPI1
3477,BCHE
3517,PLAU
3602,HMOX1
3700,APOE
3846,NECTIN2
3916,A2M
4045,F2
4110,IGF1R
4121,IGF2R
4246,ACE
4355,CHRNB2
4408,CST3
4604,DPYSL2
4609,IDE
4891,WWOX
4936,PGRMC1
5062,BAX
5119,CHRNA7
5565,GSK3B
6458,NPY
6497,SOD2
6585,ATP5F1A
6782,INSR
7023,IGF1
7047,EIF2S1
7198,AMFR
7246,PRNP
7266,BIN1
7328,APP
14711,BDNF
21070,CD2AP
21532,PSEN2
21610,CLU
22353,PICALM
23065,ADAMTS1
23179,VSNL1
24870,LEP
25261,ABI3
25380,ENO1
25442,CYP46A1
25607,SLC2A4
27698,BACE1
28590,EPHA1
29350,APOC1
29766,INPP5D
32796,GAPDHS
33884,INS
34363,CR1
34473,IQCK
35189,SORL1
35800,PLCG2
35840,HFE
36679,CD33
38766,CRH
38955,TFAM
40121,UNC5C
40212,HLA-DRB5
40313,RELN
43098,PCDH11X
43210,IGF2
45924,ARC
46496,MS4A4A
46700,PYY
50515,TREM2
50615,SLC30A6
51505,SLC30A4
51578,CASS4
60529,MIR100
60602,MIR146A
60699,MIR375
60858,MIR296
61046,MIR505
63580,MIR766
64827,SNAR-I
66403,MIR708
73298,MIR4467
73389,MIR3622B
