ID(a),a.geneSymbol
1,TBP
9,FASN
15,BGLAP
19,AKR7A2
20,MUTYH
28,TAT
42,NUP50
45,CA1
46,CA2
47,OPRM1
48,CA3
49,CA4
51,CA6
54,CA7
55,CA9
57,LRRC59
58,CDC25A
59,CDC25B
60,CDC25C
61,ACHE
66,PTGS2
68,PTGS1
79,PSMA3
81,PSMA1
84,SMAD3
89,CACNB3
90,CACNB4
91,CACNB1
92,CACNB2
98,ATIC
101,DDB1
102,SCN9A
104,SRPRB
109,HEBP1
115,SLC19A3
116,EGFR
118,PSMC6
122,SLC19A1
125,SPP1
131,ODC1
135,SRSF10
136,PSMB9
137,PSMB8
138,PSMB5
139,PSMB2
140,PSMB1
143,TSPO
153,ACLY
155,PSME3
156,PSME2
157,GMNN
158,PSME1
161,CRBN
163,RRP1B
164,KIF11
166,PSMD9
168,NRAS
169,PSMD3
170,PSMD2
171,KIT
172,PSMD1
180,RACGAP1
183,SCN4A
190,ABCC5
191,PTGFR
192,ABCC6
194,ABCC8
195,ABCC1
196,ABCC2
197,ABCC3
198,ABCC4
203,CYP2C19
205,DLG4
207,ABCC9
213,MARK4
215,TK1
216,MARK3
217,TSC22D3
218,SCN3A
222,PTGIR
223,ABCB1
233,SCN2A
236,SLC6A3
237,SLC6A4
238,ABCA1
239,SLC6A1
241,SLC6A2
252,SLC6A5
253,SCN1A
254,SCN1B
256,SLC6A9
260,EHMT2
262,LCAT
269,SCN8A
271,CYP27B1
273,AKT1
276,DIABLO
277,TMEM97
278,CDA
279,IPO13
294,CYP27A1
296,POLE
304,GRIN2A
305,PGA5
314,CBS
316,OPRL1
319,ABCG1
320,GRIN2B
321,ABCG2
322,GRIN2C
323,GRIN2D
339,GRIN3A
340,GRIN3B
346,ACE2
347,ERBB3
348,ERBB2
349,CAT
350,OPRK1
351,SCN5A
356,ATF3
366,BRCA1
373,SPR
382,CYP4A11
397,TNFAIP3
405,NQO2
409,NQO1
417,SLC10A1
418,SLC10A2
430,SP3
434,UMPS
436,CALM1
437,IL11
438,BLM
444,SEMA4D
457,TUBB1
460,TUBB3
464,TUBB6
466,SGK1
467,TUBB8
480,ALDH7A1
481,SLK
495,TRAP1
499,ACVR1
509,TBL1XR1
510,SLC23A1
514,IL1B
523,SLC7A5
528,IL4R
539,F2RL1
542,DCTD
552,OPRD1
575,SPTLC2
576,CACNG1
578,SYK
580,SLC36A1
582,SLC36A2
589,FKBP1A
592,TRIT1
598,GLO1
606,ASPH
609,PLA2G6
613,ASNS
622,HINT1
629,BTK
636,RAB27A
638,GLRB
639,ASS1
640,PPM1D
643,BSG
644,KDR
650,UGT2B7
653,CHUK
655,UGT2B4
665,P3H3
668,CSNK2A2
673,B4GALT2
681,LHCGR
690,BIRC5
693,FAAH
694,BIRC3
695,BIRC2
700,CYP3A7
701,SRC
702,ERAP2
703,CYP3A4
705,CYP3A5
727,SETD2
730,SQSTM1
732,DCK
737,GNL3
739,DBP
741,SQLE
745,ICMT
746,ANXA1
749,ANXA5
750,ANXA2
753,DBH
760,TCN1
765,PPT1
767,PIK3C2B
770,INHBA
771,CYP2J2
773,PYGL
776,MGLL
780,PLIN3
783,LPL
793,CHRM3
795,CHRM2
797,CHRM1
801,CHRM5
803,CHRM4
809,NSD2
810,NCSTN
816,MGMT
817,MBNL1
822,TAAR1
825,GNMT
829,GABBR1
831,GABBR2
832,PRKCH
833,PRKCD
834,INPP1
836,TEX10
837,PRKCB
838,PRKCA
843,BACE2
844,CHRND
846,PNPLA3
847,CHRNG
848,CHRNE
850,PRKD2
857,CSF2
858,IGF2BP2
869,LDLR
871,GNAS
879,ALPL
883,CAST
884,MGAM
887,MAPK11
889,SSTR1
892,SSTR3
894,SSTR2
895,SSTR5
896,SSTR4
899,NAT1
901,NAT2
908,LYN
910,GET1
920,MAPK13
924,MAPK14
925,CYP2R1
926,KCNMA1
927,NDUFAF1
929,NDUFAF3
930,FBP1
931,NDUFAF2
935,NDUFAF4
941,PPOX
943,CRYZ
950,ERCC5
957,TGFBR2
959,DAPK3
961,RNF8
964,NR3C2
967,NR3C1
970,CYTH2
975,PSEN1
976,SCARB1
981,LTK
982,DDC
985,NDUFAB1
1000,PTPRC
1009,CALY
1013,CALU
1027,CCKAR
1031,PPAT
1035,BDKRB2
1046,CAMLG
1047,FFAR1
1055,ADRB2
1056,CCKBR
1059,ADRB1
1069,TPO
1074,CANX
1076,ADRB3
1084,ACY3
1086,DDR1
1093,ICA1
1098,TNFSF11
1108,CYP26A1
1120,CMPK1
1128,TNF
1131,SACM1L
1142,CKM
1155,NT5C
1159,PPID
1161,PPIB
1163,PPIA
1165,PPIG
1182,IFNGR1
1191,CYP2D6
1195,CFLAR
1197,NRG1
1203,CRABP2
1210,NAE1
1211,SHBG
1212,PGK1
1213,ACP1
1216,UQCR10
1221,CYP2E1
1222,NFKB2
1224,NFKB1
1225,HLA-DRA
1226,RRP7A
1235,DNMT1
1237,CYP2B6
1238,LIF
1239,EXO1
1241,TYR
1242,TBX2
1249,PGM1
1255,CYP2C9
1258,CYP2C8
1259,HLA-C
1261,HLA-B
1262,HLA-A
1263,HLA-G
1269,FOLR1
1270,FOLR2
1271,FOLR3
1274,KEAP1
1285,GANAB
1290,TFPI2
1291,CYP2A6
1300,CTH
1303,P4HB
1307,UGT1A7
1308,UGT1A6
1309,UGT1A9
1310,UGT1A8
1312,UGT1A3
1317,UGT1A4
1322,CRKL
1326,TTR
1331,UGT1A1
1332,CSK
1334,IMPDH2
1337,NDUFB11
1338,PTPN1
1339,EGR1
1340,NDUFB10
1341,IMPDH1
1342,ADAM9
1343,PTPN4
1344,PTPN6
1345,PTPN7
1346,ADRM1
1347,TTK
1351,PPA2
1355,LCK
1363,EED
1366,NR0B1
1377,EMP1
1383,CYP51A1
1389,SPHK1
1391,MTR
1392,SPHK2
1400,SMPD1
1405,SULT1E1
1408,MDH2
1413,VDR
1414,QPRT
1419,ARG1
1433,HEXA
1434,UBE2N
1438,SRP19
1454,IGFBP3
1459,S100A12
1467,RBX1
1469,GABRP
1470,GABRQ
1472,GABRD
1473,GABRE
1475,UCP2
1483,MPI
1486,GABRR1
1487,MPO
1488,GABRR3
1490,GABRR2
1491,PPARG
1492,SULT1A1
1493,PPARD
1494,PPARA
1502,HNMT
1504,UGT1A10
1510,CDKN3
1511,CASP10
1540,CASP2
1541,CASP3
1544,CASP7
1547,CASP8
1548,CASP9
1549,HIF1A
1553,SELL
1554,RASA1
1556,ALDH1A2
1558,ALDH1A1
1560,ATG4B
1573,ELN
1577,FPGS
1580,AXIN1
1586,MLNR
1587,THRB
1588,NOS2
1589,NOS3
1590,THRA
1603,NOS1
1630,MUC1
1631,MYC
1634,MYB
1639,TRPV1
1642,MAPK9
1645,MAPK3
1646,MAPK6
1647,VIM
1649,PMM2
1650,GATA2
1651,EGF
1653,GATA3
1656,ARAF
1658,LIPA
1664,HSD17B10
1667,LPIN1
1670,MVK
1677,RBP4
1683,RBP3
1687,SNCA
1696,EPRS1
1697,DSE
1700,EDN1
1703,SLC9A1
1707,EPAS1
1711,REEP5
1720,NFE2L2
1726,CARTPT
1737,LIG1
1739,POLRMT
1740,LIG3
1745,TYMP
1747,TYMS
1748,PTGER1
1775,F10
1776,F12
1779,COMT
1782,SLC47A1
1784,PTGES3
1792,ADAM10
1794,DRD4
1795,DRD5
1796,DRD2
1798,DRD3
1799,MME
1800,DRD1
1804,PLA2G1B
1811,HMMR
1817,TNFRSF10B
1823,APAF1
1831,PLA2G2A
1836,BCL2
1837,DNMT3A
1844,GABPA
1845,TNFRSF12A
1848,PLA2G4A
1863,PROS1
1864,MIF
1876,SMOX
1877,MTOR
1881,THBD
1885,TPT1
1896,MTRR
1910,SLC16A7
1914,SLC16A3
1917,RRM2B
1919,RNPEP
1920,SLC16A5
1925,CTDSP1
1930,PRORP
1932,SLCO4C1
1940,FGA
1941,FGB
1942,FGG
1949,FOSL1
1953,GALK1
1959,CDKN1A
1961,CDKN1B
1968,SLC1A5
1969,JUND
1985,SLC1A1
1999,MMUT
2000,JUNB
2008,MTHFR
2016,SLCO2B1
2029,SLC18A1
2031,SLC18A2
2041,CHKA
2049,IRAK4
2061,IRAK1
2063,CDKN2A
2070,HSP90B1
2075,GDF15
2077,NR1H2
2082,NR1H4
2085,SULT2B1
2096,STMN1
2098,FAS
2099,F13A1
2122,MELK
2125,EPCAM
2127,ABL1
2128,ABL2
2131,NR1I2
2132,TNNC1
2133,IRS2
2139,SULT2A1
2142,ALOX5
2143,RNASE1
2150,MMP2
2151,GCLM
2153,MMP1
2155,CHAT
2156,MMP7
2159,FOS
2160,MMP8
2162,GCLC
2165,TAPBP
2166,CREB1
2168,CPT2
2175,NPR1
2179,SAP130
2180,RTN4
2183,BMP2
2191,GPR35
2193,SOD1
2199,CA5B
2201,CA5A
2204,NDUFA4L2
2205,TRIB3
2206,TRIB2
2213,SPINT1
2216,PDPK1
2217,CHD1
2228,SUV39H1
2229,GPR18
2235,PEBP1
2253,HPRT1
2262,AURKB
2263,AURKA
2267,AURKC
2289,ACVR1B
2293,ABAT
2296,FZD7
2298,GLDC
2299,CHPT1
2303,FZD1
2309,NPY1R
2312,MKNK2
2313,MKNK1
2321,GALNS
2324,ITGB2
2325,ITGB5
2329,ITGB1
2333,VEGFA
2341,ITGA5
2351,ATP5F1D
2353,ITGAL
2356,AKR1D1
2359,AKR1B10
2364,NPM1
2368,LPAR2
2380,TOR1A
2383,SLC22A3
2384,SLC22A4
2385,SLC22A5
2386,SLC22A6
2388,SLC22A1
2390,SLC22A2
2391,SLC22A7
2392,SLC22A8
2394,NCL
2398,AMACR
2416,TAGLN
2422,PER1
2424,GABRA4
2425,GABRA3
2427,GABRA6
