node_id,geneSymbol,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15
1,TBP,-0.43281177,-0.3405662,0.013072633,0.50945437,0.122973494,0.08278286,-0.16131201,0.06915108,0.0031464105,0.45092383,0.23921692,-0.18554431,0.76894134,-0.26031944,0.700184,-0.11623731
9,FASN,-0.23314244,-0.1904648,0.021519966,0.28676853,0.06401917,0.038124852,-0.07583358,0.040792447,-0.00426178,0.24227573,0.12520234,-0.103064604,0.44376338,-0.15423958,0.3915099,-0.071943894
15,BGLAP,0.0093832575,0.12265938,-0.0331012,-0.16904597,-0.070061415,-0.0015255535,-0.099386476,-0.067095004,0.07646277,0.039355695,-0.0015502367,0.0030423524,-0.2554877,0.03729388,-0.07860601,0.011083779
19,AKR7A2,-0.673231,-0.49607417,0.022817168,0.77654946,0.13702396,0.12782057,-0.24870266,0.07768786,-0.03380931,0.7027447,0.39958826,-0.29552597,1.1314521,-0.38073146,1.0572808,-0.18925805
20,MUTYH,-0.29016778,-0.19503482,0.034219027,0.2395304,0.09018868,0.043692816,-0.1369368,0.05000058,-0.055521637,0.2183763,0.09163612,-0.10092125,0.48924002,-0.16457729,0.36226782,-0.08633907
28,TAT,-0.11516078,-0.004328518,-0.001993794,-0.088179424,-0.07792423,0.14110912,0.036845386,0.01739949,0.014789315,0.018054483,-0.18194978,0.1489747,-0.073756166,0.0369738,-0.07051051,-0.020433553
42,NUP50,-0.147537,-0.15368646,0.014909641,0.21091685,0.06266752,0.041929558,-0.09974964,0.04041829,0.0071342373,0.21333043,0.110931605,-0.11402816,0.35066468,-0.12331633,0.32151246,-0.02470936
45,CA1,0.20487632,0.23888442,0.006154155,-0.4431187,-0.11416425,-0.027929196,0.2318761,0.012146544,0.02349194,-0.36309665,-0.1726531,0.12086634,-0.57486767,0.17353417,-0.5005547,-0.019556066
46,CA2,-0.23799565,-0.23132505,4.5294873e-06,0.33441815,0.08252612,0.04480115,-0.09556489,0.049237248,-0.015703563,0.27515164,0.13629088,-0.108841665,0.5181135,-0.15419765,0.42935356,-0.049356643
47,OPRM1,-0.09960174,-0.022252513,0.059100978,0.07783143,-0.022855338,0.0625957,-0.0054897014,0.05472207,0.012818393,0.03403812,0.010192869,-0.013237807,0.10022032,-0.055836003,0.109872706,-0.119178414
48,CA3,0.2743521,0.4964538,0.08431283,-0.60698444,-0.19042534,0.012858521,0.08012883,-0.14942823,0.045554277,-0.35479203,-0.17440777,0.22365327,-0.9837372,0.12911476,-0.7068889,0.06999175
49,CA4,-0.019384222,0.010379403,-0.014562215,0.15792027,0.03433684,-0.06056837,-0.02891041,-0.021038176,0.09682686,0.039832193,-0.022413284,-0.12816538,0.083247595,-0.056119286,0.05127176,-0.008172272
51,CA6,0.25455186,0.35132825,-0.0838048,-0.6298534,-0.12034601,-0.04011281,0.12061731,0.017853212,-0.020879827,-0.4835481,-0.18710719,0.2099724,-0.8395642,0.2626352,-0.78094274,0.06851217
54,CA7,0.12832841,0.24718717,0.017271928,-0.42786276,-0.2174519,0.082728446,0.24238113,-0.023054449,0.04068324,-0.38717514,-0.20125103,0.23428577,-0.6530569,0.32312405,-0.5798292,0.0014110496
55,CA9,-0.25430816,-0.17174496,0.12428059,0.31141487,-0.02340485,0.050399713,-0.06828771,0.035327863,0.09658308,0.3020367,0.087987944,-0.14623289,0.43995842,-0.20979266,0.48386082,-0.095911555
57,LRRC59,-0.3344356,-0.261516,-0.0061542355,0.4059418,0.11215216,0.05219709,-0.12470971,0.061635386,-0.014608366,0.34269208,0.19032067,-0.15331772,0.6427096,-0.21140449,0.53848517,-0.07194839
58,CDC25A,-0.34690538,-0.32395062,0.022862842,0.45426387,0.1047127,0.064321645,-0.12449555,0.07805607,-0.003612093,0.37075844,0.18765046,-0.16107467,0.70608443,-0.22591253,0.6039659,-0.083947904
59,CDC25B,-0.5918311,-0.4544854,0.03982624,0.66166985,0.111519076,0.14162238,-0.1839924,0.11745715,-0.0070624584,0.5558093,0.3102905,-0.23770225,0.9834861,-0.34243542,0.88211185,-0.19305716
60,CDC25C,-0.14362156,-0.15371534,0.058623273,0.3032167,0.079888135,0.042478397,-0.061899632,0.08051722,0.018304007,0.2545415,0.11806096,-0.038316503,0.4536792,-0.18432423,0.43390194,-0.16699602
61,ACHE,-0.21429498,-0.14723283,-0.008749881,0.26699543,0.09142679,0.0060126954,-0.07150525,0.015738167,-0.0059819035,0.23649758,0.13058865,-0.10626273,0.40540576,-0.11282052,0.33645484,-0.004455097
66,PTGS2,-0.41184065,-0.29459184,0.011533004,0.45767942,0.08067076,0.0944989,-0.13077115,0.05754465,-0.007166693,0.4099101,0.21945092,-0.17083104,0.6742305,-0.24458869,0.62335366,-0.11466614
68,PTGS1,0.09697685,0.23457533,-0.006058342,-0.32617083,-0.114321165,0.003907971,0.05343185,-0.08315492,-0.004409182,-0.21867737,-0.14525856,0.11776909,-0.5270859,0.0823167,-0.3741081,0.059367605
79,PSMA3,-0.37958422,-0.3226508,0.015232332,0.49896044,0.11068479,0.06770522,-0.12411072,0.084785916,-0.0071031335,0.3973859,0.21225359,-0.17805484,0.78044754,-0.26680022,0.65343875,-0.10486427
81,PSMA1,-0.2536089,-0.21272318,-0.018359536,0.3218743,0.08505746,0.037304047,-0.109130815,0.047859106,-0.016733149,0.2805661,0.1473205,-0.10449636,0.5136645,-0.15645956,0.43364105,-0.04608126
84,SMAD3,-0.42690212,-0.34736598,0.009893166,0.5097376,0.120666295,0.08295972,-0.16650368,0.06009346,0.011335229,0.4636701,0.23073556,-0.17696576,0.77871054,-0.27871147,0.699518,-0.095740385
89,CACNB3,-0.20755634,-0.13017455,-0.045782726,0.20746087,0.089817986,0.030809857,-0.09386102,0.03528663,-0.020229582,0.19934654,0.108806685,-0.07421794,0.3778058,-0.11797,0.2951916,-0.03356366
90,CACNB4,-0.2074197,-0.15730254,-0.011604421,0.22918089,0.056761876,0.043373004,-0.058597144,0.040855937,0.01581275,0.19939087,0.044393055,-0.084482245,0.34078997,-0.12194372,0.30957976,-0.053820394
