drug,label,count,drug_id,genes
Sapropterin+Carboplatin,2,28,"4515, 5541","['NOS3', 'TH', 'PAH', 'CD44', 'PTGS2', 'TPH1', 'GSTM1', 'ATP7B', 'SLC31A1', 'ABCC2', 'SOD1', 'ABCG2', 'MPO', 'GSTP1', 'MT1A', 'XDH', 'MT2A', 'ATP7A', 'NQO1', 'GSTT1']"
Loteprednol+Cefotetan+Cefaloridine+Difluprednate+Penicillamine+Moxifloxacin+Mannitol+Valrubicin+Clocortolone+Cefonicid+Vancomycin+Risedronic acid+Ulobetasol+Nandrolone phenpropionate+Foscarnet+Nitrofurantoin+Tauroursodeoxycholic acid+Fusidic acid+Flumethasone+Desogestrel,11,30,"16502, 6020, 12648, 12489, 5828, 5413, 6147, 4588, 5802, 6004, 3265, 6087, 3123, 5588, 3295, 2538, 13838, 9688, 2734, 5041","['NR3C1', 'ALB', 'SLC22A6', 'NR3C1', 'SLCO1B1', 'TOP2A', 'ABCB1', 'TOP2A', 'NR3C1', 'ALB', 'SLC22A6', 'PTGS2', 'FDPS', 'NR3C1', 'SERPINA6', 'AR', 'CYP19A1', 'SLC22A6', 'POR', 'ABCG2', 'SLCO1A2', 'SLC7A11', 'ABCB11', 'ABCC2', 'SERPINA6', 'NR3C1', 'SHBG', 'PGR', 'ESR1']"
Azilsartan medoxomil+Pentostatin+Phenindione+Nitisinone+Carbetocin+Saprisartan+Deferoxamine+Proflavine+Ceftizoxime+Enoximone+Linaclotide+Nitroxoline+Micafungin+Tiludronic acid+Erythrityl tetranitrate+Porfimer sodium+Lubiprostone+Nabilone+Dolutegravir+Ridogrel+Entecavir,24,30,"13926, 3156, 3822, 4782, 5927, 6022, 6151, 6564, 6017, 10936, 13815, 9647, 6594, 6589, 9116, 1972, 6511, 3817, 13702, 6331, 3938","['AGTR1', 'ADA', 'VKORC1', 'HPD', 'OXTR', 'AGTR1', 'XDH', 'F2', 'SLC15A1', 'PDE3A', 'GUCY2C', 'METAP2', 'ARSA', 'COMT', 'PTPN1', 'NPR1', 'NPR2', 'LDLR', 'FCGR1A', 'CBR1', 'CLCN2', 'CNR2', 'CNR1', 'UGT1A1', 'POU2F2', 'TBXA2R', 'TBXAS1', 'LPL']"
Nitrendipine,1,30,6517,"['CACNA1C', 'CACNA2D2', 'CACNB2', 'CACNA1D', 'GATA3', 'CYP3A4', 'CACNA2D1', 'SUV39H1', 'CYP3A5', 'CACNA1H', 'ABCB1', 'CACNA1S', 'CYP3A7', 'SELL', 'CACNG1', 'PSMD2']"
Zidovudine,16,30,3882,"['SLC22A2', 'SLC29A2', 'SLC22A7', 'CYP2A6', 'NDUFS6', 'ALB', 'ABCC4', 'SLC22A8', 'SLC22A11', 'UGT2B7', 'SLC28A1', 'SLC22A6', 'CYP2C19', 'ABCC5', 'CYP2C9', 'GNAS', 'TK1', 'CYP2C8', 'NDUFA13', 'TUBA1A', 'ABCB1', 'SDC1', 'ABCG2', 'CYP3A4', 'TERT']"
Apixaban+Cyproterone acetate+Rabeprazole,7,30,"13131, 10995, 6562","['CYP3A5', 'F10', 'CYP2J2', 'CYP2C8', 'ABCB1', 'ABCG2', 'CYP2C19', 'CYP1A2', 'CYP3A4', 'CYP2C9', 'PIN1', 'NR3C1', 'CYP19A1', 'AR', 'CYP3A4', 'CYP2C9', 'CYP1A2', 'ATP4B', 'CYP1A1', 'ABCG2', 'CYP2C19', 'CYP2D6', 'ATP4A']"
Lurasidone+Telmisartan+Lercanidipine+Nadolol,1,30,"13916, 5571, 3270, 6323","['HTR7', 'ADRA2A', 'HTR1A', 'DRD2', 'HTR2A', 'CYP3A4', 'ADRA2C', 'PPARG', 'AGTR1', 'ABCC2', 'ABCB1', 'ABCG2', 'CYP2C19', 'SLCO1B3', 'CYP3A7', 'CACNG1', 'CACNA1D', 'CYP3A4', 'CACNA1C', 'CYP3A5', 'CYP2D6', 'ABCB1', 'ADRB1', 'ADRB2', 'ADRB3']"
Carteolol+Agomelatine+Brimonidine+Methantheline+Cisatracurium,1,30,"3303, 12911, 3820, 5651, 3172","['CYP2D6', 'ADRB1', 'ADRB2', 'CYP2C9', 'MTNR1A', 'MTNR1B', 'HTR2B', 'CYP1A2', 'HTR2C', 'ADRA2A', 'AOX1', 'ADRA2C', 'ADRA2B', 'CHRM1', 'HRH2', 'ADRB2', 'CHRND', 'CBR1', 'CHRNB1', 'CHRNA2', 'CHRNA1', 'HMOX1']"
Betaxolol+Bopindolol+Phenylephrine+Milnacipran+Penbutolol+Bambuterol,1,30,"5043, 13902, 4562, 10957, 6036, 9614","['ADRB1', 'CYP2D6', 'CYP1A2', 'ADRB2', 'ADRB2', 'HTR1A', 'HTR1B', 'ADRB3', 'ADRB1', 'ADRA1D', 'MAOA', 'CYP1A2', 'ADRA1B', 'ADRA1A', 'SLC6A4', 'GJA1', 'SLC6A2', 'ADRB1', 'HTR1A', 'ADRB2', 'HTR1B', 'ADRB2', 'BCHE', 'ERAP2']"
Olsalazine+Dolasetron+Cefmetazole+Thiamine+Aprindine,14,30,"6264, 6398, 5163, 403, 9652","['PTGS1', 'ALOX5', 'IFNG', 'TPMT', 'PTGS2', 'PPARG', 'CYP2D6', 'CYP2C9', 'CYP3A4', 'HTR3A', 'GDF15', 'SLC15A2', 'SLC15A1', 'ALB', 'SLC22A5', 'CYP4B1', 'SLC22A1', 'SLC22A2', 'SCN5A', 'CYP2D6', 'CALM1']"
